name,url,price,img,brand,code
The Classic,http://www.koovs.com/all-over-garfield-jacket-85311.html,1875,http://images.koovscdn.com/uploads/products/85311_41c35b93750da65cdc79d580833ebaf6_image1_zoom.jpg,The Classic,85311
Truffle Collection,http://www.koovs.com/truffle-collection-fringed-t-bar-espadrilles-92328.html,1899,http://images.koovscdn.com/uploads/products/92328_aae2f2d8fb8d5c1ede98bd85cfa9bff1_image1_zoom.jpg,Truffle Collection,92328
Truffle Collection,http://www.koovs.com/truffle-collection-mesh-trainers-with-jute-sole-detail-93493.html,3199,http://images.koovscdn.com/uploads/products/93493_37195ae24e30775caccc4a0ed16ad9cb_image1_zoom.jpg,Truffle Collection,93493
The Classic,http://www.koovs.com/low-rise-ltst-distressed-jean-85320.html,2160,http://images.koovscdn.com/uploads/products/85320_d61139c0d9166efbcdec21aa4bf61b80_image1_zoom.jpg,The Classic,85320
Truffle Collection,http://www.koovs.com/truffle-collection-metallic-flatforms-with-jute-sole-detail-93491.html,3299,http://images.koovscdn.com/uploads/products/93491_3f72949ff07384a064ef59edcfc0cb11_image1_zoom.jpg,Truffle Collection,93491
The Classic,http://www.koovs.com/garfield-hope-tank-tee-85319.html,1200,http://images.koovscdn.com/uploads/products/85319_442084a1e9213148c0f89db2f3232cc5_image1_zoom.jpg,The Classic,85319
Velvet Army,http://www.koovs.com/velvet-army-metallic-block-heeled-sandals-87719.html,2895,http://images.koovscdn.com/uploads/products/87719_bf9e6109afb7b06f2a235757cb6f2856_image1_zoom.jpg,Velvet Army,87719
Velvet Army,http://www.koovs.com/velvet-army-soft-tie-heeled-sandals-87718.html,2495,http://images.koovscdn.com/uploads/products/87718_90f37dda7e7726f6f9856d98ba0ace7f_image1_zoom.jpg,Velvet Army,87718
The Classic,http://www.koovs.com/arrow-boho-women-hugs-kisses-long-sleeve-hoodie-top-85313.html,1200,http://images.koovscdn.com/uploads/products/85313_53d03291890f0c4f264e5e9a79b70385_image1_zoom.jpg,The Classic,85313
The Classic,http://www.koovs.com/womens-monday-emoji-graphic-t-shirt-85318.html,950,http://images.koovscdn.com/uploads/products/85318_7e5f6f30f45362f82280fec2dd0645d2_image1_zoom.jpg,The Classic,85318
